"status","brand","model","type","length","diameter","amazonUrl","evidence","rejectReason"
"accepted","三菱鉛筆","ユニボールワンP 名入れ ミニボールペン ノート 手帳 プレゼント 女性 ボールペン プチギフト ノートセット ゲルインク 0.38mm 0.5mm 友達 退職 お礼 誕生日 敬老 敬老の日 母の日 2026","ボールペン","116.8","","https://www.amazon.co.jp/s?k=%E4%B8%89%E8%8F%B1%E9%89%9B%E7%AD%86%20%E3%83%A6%E3%83%8B%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%AF%E3%83%B3P%20%E5%90%8D%E5%85%A5%E3%82%8C%20%E3%83%9F%E3%83%8B%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E3%83%8E%E3%83%BC%E3%83%88%20%E6%89%8B%E5%B8%B3%20%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%20%E5%A5%B3%E6%80%A7%20%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E3%83%97%E3%83%81%E3%82%AE%E3%83%95%E3%83%88%20%E3%83%8E%E3%83%BC%E3%83%88%E3%82%BB%E3%83%83%E3%83%88%20%E3%82%B2%E3%83%AB%E3%82%A4%E3%83%B3%E3%82%AF%200.38mm%200.5mm%20%E5%8F%8B%E9%81%94%20%E9%80%80%E8%81%B7%20%E3%81%8A%E7%A4%BC%20%E8%AA%95%E7%94%9F%E6%97%A5%20%E6%95%AC%E8%80%81%20%E6%95%AC%E8%80%81%E3%81%AE%E6%97%A5%20%E6%AF%8D%E3%81%AE%E6%97%A5%202026","軸径φ13.9　×　厚さ19.2　×　全長116.8mm",""
"accepted","三菱鉛筆","限定テクスチャーカラー uni ball ZENTOユニボール ゼント / one P","ボールペン","116.8","","https://www.amazon.co.jp/s?k=%E4%B8%89%E8%8F%B1%E9%89%9B%E7%AD%86%20%E9%99%90%E5%AE%9A%E3%83%86%E3%82%AF%E3%82%B9%E3%83%81%E3%83%A3%E3%83%BC%E3%82%AB%E3%83%A9%E3%83%BC%20uni%20ball%20ZENTO%E3%83%A6%E3%83%8B%E3%83%9C%E3%83%BC%E3%83%AB%20%E3%82%BC%E3%83%B3%E3%83%88%20%2F%20one%20P","■サイズ：軸径13.9×厚さ19.2×全長116.8mm",""
"accepted","パイロット","油性ミニボールペン バーディ 0.7 シルバー ステンレス BS40SS","ボールペン","111","5.6","https://www.amazon.co.jp/s?k=%E3%83%91%E3%82%A4%E3%83%AD%E3%83%83%E3%83%88%20%E6%B2%B9%E6%80%A7%E3%83%9F%E3%83%8B%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E3%83%90%E3%83%BC%E3%83%87%E3%82%A3%200.7%20%E3%82%B7%E3%83%AB%E3%83%90%E3%83%BC%20%E3%82%B9%E3%83%86%E3%83%B3%E3%83%AC%E3%82%B9%20BS40SS","ボール径0.7mm 方式ノック式 サイズ最大径φ5.6mm×全長111mm インキ油性インキ（黒）替芯BTRF-6F-B 軸ステンレス",""
"accepted","パイロット","バーディ 油性ボールペン BS-40S","ボールペン","111","5.6","https://www.amazon.co.jp/s?k=%E3%83%91%E3%82%A4%E3%83%AD%E3%83%83%E3%83%88%20%E3%83%90%E3%83%BC%E3%83%87%E3%82%A3%20%E6%B2%B9%E6%80%A7%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20BS-40S","サイズ：最大径5.6mmｘ全長111mm",""
"accepted","ゼブラ","手帳用 油性ボールペン 0.7mm","ボールペン","100","","https://www.amazon.co.jp/s?k=%E3%82%BC%E3%83%96%E3%83%A9%20%E6%89%8B%E5%B8%B3%E7%94%A8%20%E6%B2%B9%E6%80%A7%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%200.7mm","スリムでかさばらない　全長わずか10cm",""
"accepted","ゼブラ","SL-F1 mini アースカラーシリーズ 限定 BA55-EC 手帳用 超小型 油性ボールペン 0.7mm 携帯 送料無料 伸縮ペン 手帳用 超小型 スリム 持ち運び 小さい 細い 短い エスエルエフワン ガジェットカラーシリーズ ミニ ボールペン コンパクト","ボールペン","107","","https://www.amazon.co.jp/s?k=%E3%82%BC%E3%83%96%E3%83%A9%20SL-F1%20mini%20%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%AB%E3%83%A9%E3%83%BC%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA%20%E9%99%90%E5%AE%9A%20BA55-EC%20%E6%89%8B%E5%B8%B3%E7%94%A8%20%E8%B6%85%E5%B0%8F%E5%9E%8B%20%E6%B2%B9%E6%80%A7%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%200.7mm%20%E6%90%BA%E5%B8%AF%20%E9%80%81%E6%96%99%E7%84%A1%E6%96%99%20%E4%BC%B8%E7%B8%AE%E3%83%9A%E3%83%B3%20%E6%89%8B%E5%B8%B3%E7%94%A8%20%E8%B6%85%E5%B0%8F%E5%9E%8B%20%E3%82%B9%E3%83%AA%E3%83%A0%20%E6%8C%81%E3%81%A1%E9%81%8B%E3%81%B3%20%E5%B0%8F%E3%81%95%E3%81%84%20%E7%B4%B0%E3%81%84%20%E7%9F%AD%E3%81%84%20%E3%82%A8%E3%82%B9%E3%82%A8%E3%83%AB%E3%82%A8%E3%83%95%E3%83%AF%E3%83%B3%20%E3%82%AC%E3%82%B8%E3%82%A7%E3%83%83%E3%83%88%E3%82%AB%E3%83%A9%E3%83%BC%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA%20%E3%83%9F%E3%83%8B%20%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88","●サイズ/全長84mm/107mm（伸長時）最大径φ11.7mm",""
"accepted","ゼブラ","SL-F1 mini N アースカラーシリーズ スライド式油性ボールペン 0.7mm 黒インク ピュアブラック レッド ペールブルー ダークグレー グリーン アイボリー 伸縮性 ミニ コンパクト ゼブラ BA55-EC-PBK/BA55-EC-R/BA55-EC-PB/BA55-EC-DRG/BA55-EC-G/BA55-EC-IV","ボールペン","107","","https://www.amazon.co.jp/s?k=%E3%82%BC%E3%83%96%E3%83%A9%20SL-F1%20mini%20N%20%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%AB%E3%83%A9%E3%83%BC%E3%82%B7%E3%83%AA%E3%83%BC%E3%82%BA%20%E3%82%B9%E3%83%A9%E3%82%A4%E3%83%89%E5%BC%8F%E6%B2%B9%E6%80%A7%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%200.7mm%20%E9%BB%92%E3%82%A4%E3%83%B3%E3%82%AF%20%E3%83%94%E3%83%A5%E3%82%A2%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20%E3%83%AC%E3%83%83%E3%83%89%20%E3%83%9A%E3%83%BC%E3%83%AB%E3%83%96%E3%83%AB%E3%83%BC%20%E3%83%80%E3%83%BC%E3%82%AF%E3%82%B0%E3%83%AC%E3%83%BC%20%E3%82%B0%E3%83%AA%E3%83%BC%E3%83%B3%20%E3%82%A2%E3%82%A4%E3%83%9C%E3%83%AA%E3%83%BC%20%E4%BC%B8%E7%B8%AE%E6%80%A7%20%E3%83%9F%E3%83%8B%20%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%20%E3%82%BC%E3%83%96%E3%83%A9%20BA55-EC-PBK%2FBA55-EC-R%2FBA55-EC-PB%2FBA55-EC-DRG%2FBA55-EC-G%2FBA55-EC-IV","全長84mm(収納時)/107mm(使用時)",""
"accepted","ゼブラ","■ 限定 アースカラー SL-F1 mini 油性ボールペン 0.7ｍｍ ペールブルー BA55-EC-PB","ボールペン","107","11.7","https://www.amazon.co.jp/s?k=%E3%82%BC%E3%83%96%E3%83%A9%20%E2%96%A0%20%E9%99%90%E5%AE%9A%20%E3%82%A2%E3%83%BC%E3%82%B9%E3%82%AB%E3%83%A9%E3%83%BC%20SL-F1%20mini%20%E6%B2%B9%E6%80%A7%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%200.7%EF%BD%8D%EF%BD%8D%20%E3%83%9A%E3%83%BC%E3%83%AB%E3%83%96%E3%83%AB%E3%83%BC%20BA55-EC-PB","サイズ:全長84mm/107mm（伸長時）最大径φ11.7mm",""
"accepted","トンボ鉛筆","油性ボールペン エアプレス BC-AP -54 オレンジ / -12 フルブラック / -20 透明 / -52 イエロー 加圧ペン 速記 上向き筆記 湿った紙への筆記に効果 携帯用 高耐久 アウトドア グッドデザイン賞 油性インク 細字0.7mm ステンレスチップ","ボールペン","122","","https://www.amazon.co.jp/s?k=%E3%83%88%E3%83%B3%E3%83%9C%E9%89%9B%E7%AD%86%20%E6%B2%B9%E6%80%A7%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E3%82%A8%E3%82%A2%E3%83%97%E3%83%AC%E3%82%B9%20BC-AP%20-54%20%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%20%2F%20-12%20%E3%83%95%E3%83%AB%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20%2F%20-20%20%E9%80%8F%E6%98%8E%20%2F%20-52%20%E3%82%A4%E3%82%A8%E3%83%AD%E3%83%BC%20%E5%8A%A0%E5%9C%A7%E3%83%9A%E3%83%B3%20%E9%80%9F%E8%A8%98%20%E4%B8%8A%E5%90%91%E3%81%8D%E7%AD%86%E8%A8%98%20%E6%B9%BF%E3%81%A3%E3%81%9F%E7%B4%99%E3%81%B8%E3%81%AE%E7%AD%86%E8%A8%98%E3%81%AB%E5%8A%B9%E6%9E%9C%20%E6%90%BA%E5%B8%AF%E7%94%A8%20%E9%AB%98%E8%80%90%E4%B9%85%20%E3%82%A2%E3%82%A6%E3%83%88%E3%83%89%E3%82%A2%20%E3%82%B0%E3%83%83%E3%83%89%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3%E8%B3%9E%20%E6%B2%B9%E6%80%A7%E3%82%A4%E3%83%B3%E3%82%AF%20%E7%B4%B0%E5%AD%970.7mm%20%E3%82%B9%E3%83%86%E3%83%B3%E3%83%AC%E3%82%B9%E3%83%81%E3%83%83%E3%83%97","サイズ 最大幅21×全長122mm 重量15g 包装サイズ 幅55×厚さ15×全長191mm 重量20g 機構 ノック加圧式機構 仕様 軸:PMMA樹脂・エラストマー仕様 PMMA樹脂（透明）/クリップ:炭素鋼/0.7mmボール　ステンレスチップ 替芯 BR-SF33 特徴 どんな環境でも“確実に書ける”ことにこだわった加圧式ボールペンです。アウトドア、建設現場、防災用途、屋外メモなど、過酷なシーンに対応するタフな一本。優れたデザイン性と実用性を兼ね備え、本気で使える“現場仕様”ペンを求める方におすすめです。",""
"accepted","トンボ鉛筆","加圧式油性ボールペン エアプレス BC-AP","ボールペン","122","","https://www.amazon.co.jp/s?k=%E3%83%88%E3%83%B3%E3%83%9C%E9%89%9B%E7%AD%86%20%E5%8A%A0%E5%9C%A7%E5%BC%8F%E6%B2%B9%E6%80%A7%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E3%82%A8%E3%82%A2%E3%83%97%E3%83%AC%E3%82%B9%20BC-AP","●携帯に適した全長122mmのショートボディ。",""
"accepted","OHTO","オート とっても小さなボールペン TL01-B OHTO ペンホルダー付き 手帳用 ダイヤリー ダイアリー 1000円ポッキリ 送料無料 ブラック ピンクゴールド ネイビー グレー アルミボディ コンパクト 携帯 名刺入れ カードケース 小さい ミニサイズ 持ち運び 便利 文具","ボールペン","91","","https://www.amazon.co.jp/s?k=OHTO%20%E3%82%AA%E3%83%BC%E3%83%88%20%E3%81%A8%E3%81%A3%E3%81%A6%E3%82%82%E5%B0%8F%E3%81%95%E3%81%AA%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20TL01-B%20OHTO%20%E3%83%9A%E3%83%B3%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%E4%BB%98%E3%81%8D%20%E6%89%8B%E5%B8%B3%E7%94%A8%20%E3%83%80%E3%82%A4%E3%83%A4%E3%83%AA%E3%83%BC%20%E3%83%80%E3%82%A4%E3%82%A2%E3%83%AA%E3%83%BC%201000%E5%86%86%E3%83%9D%E3%83%83%E3%82%AD%E3%83%AA%20%E9%80%81%E6%96%99%E7%84%A1%E6%96%99%20%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20%E3%83%94%E3%83%B3%E3%82%AF%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%20%E3%83%8D%E3%82%A4%E3%83%93%E3%83%BC%20%E3%82%B0%E3%83%AC%E3%83%BC%20%E3%82%A2%E3%83%AB%E3%83%9F%E3%83%9C%E3%83%87%E3%82%A3%20%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%20%E6%90%BA%E5%B8%AF%20%E5%90%8D%E5%88%BA%E5%85%A5%E3%82%8C%20%E3%82%AB%E3%83%BC%E3%83%89%E3%82%B1%E3%83%BC%E3%82%B9%20%E5%B0%8F%E3%81%95%E3%81%84%20%E3%83%9F%E3%83%8B%E3%82%B5%E3%82%A4%E3%82%BA%20%E6%8C%81%E3%81%A1%E9%81%8B%E3%81%B3%20%E4%BE%BF%E5%88%A9%20%E6%96%87%E5%85%B7","全長91mm、名刺と同じ長さの小さな相棒は、どこへでも一緒に。",""
"accepted","OHTO","世界最小級のボールペン。とっても小さなボールペン カードサイズのペンホルダー付 手帳用 ダイヤリー ノベルティグッズ ブラック ピンクゴールド ネイビー グレー OHTO","ボールペン","91","","https://www.amazon.co.jp/s?k=OHTO%20%E4%B8%96%E7%95%8C%E6%9C%80%E5%B0%8F%E7%B4%9A%E3%81%AE%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%E3%80%82%E3%81%A8%E3%81%A3%E3%81%A6%E3%82%82%E5%B0%8F%E3%81%95%E3%81%AA%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E3%82%AB%E3%83%BC%E3%83%89%E3%82%B5%E3%82%A4%E3%82%BA%E3%81%AE%E3%83%9A%E3%83%B3%E3%83%9B%E3%83%AB%E3%83%80%E3%83%BC%E4%BB%98%20%E6%89%8B%E5%B8%B3%E7%94%A8%20%E3%83%80%E3%82%A4%E3%83%A4%E3%83%AA%E3%83%BC%20%E3%83%8E%E3%83%99%E3%83%AB%E3%83%86%E3%82%A3%E3%82%B0%E3%83%83%E3%82%BA%20%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20%E3%83%94%E3%83%B3%E3%82%AF%E3%82%B4%E3%83%BC%E3%83%AB%E3%83%89%20%E3%83%8D%E3%82%A4%E3%83%93%E3%83%BC%20%E3%82%B0%E3%83%AC%E3%83%BC%20OHTO","本体：最大幅:5.6mm　軸径:3.7×全長91mm 重さ:2.8ｇ",""
"accepted","LAMY","ラミー ピコ LAMY pico 油性ボールペン L289B クロームメッキ/ブラック/ホワイト/インペリアルブルー ノックタイプ ギフト プレゼント お祝い 記念 誕生日 男性 女性 就職 入学 卒業 高級筆記具 オフィス 先生へ 上司へ","ボールペン","92","12.5","https://www.amazon.co.jp/s?k=LAMY%20%E3%83%A9%E3%83%9F%E3%83%BC%20%E3%83%94%E3%82%B3%20LAMY%20pico%20%E6%B2%B9%E6%80%A7%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20L289B%20%E3%82%AF%E3%83%AD%E3%83%BC%E3%83%A0%E3%83%A1%E3%83%83%E3%82%AD%2F%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%2F%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%2F%E3%82%A4%E3%83%B3%E3%83%9A%E3%83%AA%E3%82%A2%E3%83%AB%E3%83%96%E3%83%AB%E3%83%BC%20%E3%83%8E%E3%83%83%E3%82%AF%E3%82%BF%E3%82%A4%E3%83%97%20%E3%82%AE%E3%83%95%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%20%E3%81%8A%E7%A5%9D%E3%81%84%20%E8%A8%98%E5%BF%B5%20%E8%AA%95%E7%94%9F%E6%97%A5%20%E7%94%B7%E6%80%A7%20%E5%A5%B3%E6%80%A7%20%E5%B0%B1%E8%81%B7%20%E5%85%A5%E5%AD%A6%20%E5%8D%92%E6%A5%AD%20%E9%AB%98%E7%B4%9A%E7%AD%86%E8%A8%98%E5%85%B7%20%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B9%20%E5%85%88%E7%94%9F%E3%81%B8%20%E4%B8%8A%E5%8F%B8%E3%81%B8","【名入れ可】【包装可】【ポケットに収まるドイツの英知】【油性ボールペン】携帯時は全長わずか92mmのコンパクト設計。",""
"accepted","LAMY","PICO BALLPOINT PEN ラミー ピコ ボールペン 油性 筆記用具 文房具 ブランド 高級 コンパクト 携帯 小さい ブラック 黒 ネイビー オレンジ ピンク ホワイト 白 シルバー ギフト プレゼント","ボールペン","123","","https://www.amazon.co.jp/s?k=LAMY%20PICO%20BALLPOINT%20PEN%20%E3%83%A9%E3%83%9F%E3%83%BC%20%E3%83%94%E3%82%B3%20%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E6%B2%B9%E6%80%A7%20%E7%AD%86%E8%A8%98%E7%94%A8%E5%85%B7%20%E6%96%87%E6%88%BF%E5%85%B7%20%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%20%E9%AB%98%E7%B4%9A%20%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%20%E6%90%BA%E5%B8%AF%20%E5%B0%8F%E3%81%95%E3%81%84%20%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20%E9%BB%92%20%E3%83%8D%E3%82%A4%E3%83%93%E3%83%BC%20%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%20%E3%83%94%E3%83%B3%E3%82%AF%20%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%20%E7%99%BD%20%E3%82%B7%E3%83%AB%E3%83%90%E3%83%BC%20%E3%82%AE%E3%83%95%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88","携帯時は全長わずか92mmのコンパクト設計。ところが、たった一度のノックで口金が飛び出し、続いて尻軸が延伸。あっという間に全長123mmのフルサイズボールペンに早変わり。愛らしい外観からは想像もつかないダイナミックな機構により、2002年のデザインプラス最優秀賞にも輝いたモデルです。クリップを持たない代わりに転がり防止の突起が装備されるなど、細かい部分まで気が配られ、極めてユーザーフレンドリーな仕上がりとなっています。",""
"accepted","LAMY","PICO BALLPOINT PEN ラミー ピコ ボールペン 油性 筆記用具 文房具 ブランド 高級 コンパクト 携帯 小さい ブラック 黒 ネイビー オレンジ ピンク ホワイト 白 シルバー ギフト プレゼント","ボールペン","123","","https://www.amazon.co.jp/s?k=LAMY%20PICO%20BALLPOINT%20PEN%20%E3%83%A9%E3%83%9F%E3%83%BC%20%E3%83%94%E3%82%B3%20%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%20%E6%B2%B9%E6%80%A7%20%E7%AD%86%E8%A8%98%E7%94%A8%E5%85%B7%20%E6%96%87%E6%88%BF%E5%85%B7%20%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%20%E9%AB%98%E7%B4%9A%20%E3%82%B3%E3%83%B3%E3%83%91%E3%82%AF%E3%83%88%20%E6%90%BA%E5%B8%AF%20%E5%B0%8F%E3%81%95%E3%81%84%20%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20%E9%BB%92%20%E3%83%8D%E3%82%A4%E3%83%93%E3%83%BC%20%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%20%E3%83%94%E3%83%B3%E3%82%AF%20%E3%83%9B%E3%83%AF%E3%82%A4%E3%83%88%20%E7%99%BD%20%E3%82%B7%E3%83%AB%E3%83%90%E3%83%BC%20%E3%82%AE%E3%83%95%E3%83%88%20%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88","携帯時は全長わずか92mmのコンパクト設計。ところが、たった一度のノックで口金が飛び出し、続いて尻軸が延伸。あっという間に全長123mmのフルサイズボールペンに早変わり。愛らしい外観からは想像もつかないダイナミックな機構により、2002年のデザインプラス最優秀賞にも輝いたモデルです。クリップを持たない代わりに転がり防止の突起が装備されるなど、細かい部分まで気が配られ、極めてユーザーフレンドリーな仕上がりとなっています。",""
"accepted","LAMY","Pico 油性ボールペン 4カラー l287-l288","ボールペン","92","","https://www.amazon.co.jp/s?k=LAMY%20Pico%20%E6%B2%B9%E6%80%A7%E3%83%9C%E3%83%BC%E3%83%AB%E3%83%9A%E3%83%B3%204%E3%82%AB%E3%83%A9%E3%83%BC%20l287-l288","携帯時は全長わずか92mmのコンパクトな",""
"rejected","","","","139","","https://item.rakuten.co.jp/kayonoko/kayonoko-uniball_onep2","約全長139mm（直径 約10.5mm）・約11g（チャームなど別パーツ除く）","全長が130mmを超える"
"rejected","","uni-ball one P（ユニボールワンP）0.38mm 0.5mm","","","","https://item.rakuten.co.jp/bunborg/30856","","商品ページから全長を確認できない"
"rejected","","ジェットストリーム 名入れ ボールペン ライトタッチ インク 4&1 シマエナガ ボールペン プレゼント 女性 マーク 三菱鉛筆 uni 多機能ペン 記念品 入学祝 卒業祝 卒業式 敬老 敬老の日 母の日 2026","","","","https://item.rakuten.co.jp/nairebugyo/e06-43-106","","ボールペン/万年筆ではない"
"rejected","","","","144.3","","https://item.rakuten.co.jp/bungunomori/sxn-uc-07rop-p","【サイズ】最大径φ 15.0mm　全長 144.3mm","全長が130mmを超える"
"rejected","","","","144.3","","https://item.rakuten.co.jp/bungunomori/sxn-uc-07rop-ti","【サイズ】最大径φ 15.0mm　全長 144.3mm","全長が130mmを超える"
"rejected","","","","144.3","","https://item.rakuten.co.jp/bungunomori/sxn-uc-07rop-me","【サイズ】最大径φ 15.0mm　全長 144.3mm","全長が130mmを超える"
"rejected","","","","142","","https://item.rakuten.co.jp/manshou2023/ljl-14","■サイズ：全長142mm　最大径10.5mm","全長が130mmを超える"
"rejected","","手帳用油性ボールペン バーディ シルバー 細字0.7mm パイロット BS-40S","","","","https://item.rakuten.co.jp/8989usagiya/10013487","","商品ページから全長を確認できない"
"rejected","","ボールペン替芯 フリクション 0.5mm LFBKRF12EF","","","","https://item.rakuten.co.jp/bunsute/lfbkrf12ef","","ボールペン/万年筆ではない"
"rejected","","ZEBRA 手帳用ボールペン 1個(T3) 目安在庫=○","","","","https://item.rakuten.co.jp/compmoto-r/4901681228102","","商品ページから全長を確認できない"
"rejected","","【5/18 00","","","","https://item.rakuten.co.jp/yoemondou/4901681266074-0550","","ボールペン/万年筆ではない"
"rejected","","油性ボールペン 手帳用","","","","https://item.rakuten.co.jp/manshou2023/t-3","","商品ページから全長を確認できない"
"rejected","","加圧式ボールペン エアプレス0.7mm 油性ボールペン （TOMBOW・トンボ鉛筆）","","","","https://item.rakuten.co.jp/atn/bcap","","商品ページから全長を確認できない"
"rejected","","ボールペンエアプレス（BC-AP）","","","","https://item.rakuten.co.jp/stationery-goods/ton0007","","商品ページから全長を確認できない"
"rejected","","","","141","","https://item.rakuten.co.jp/loupe-studio/akh-ltl-0524","ボールペン ペン 0.4 水性 文具 文房具 筆記用具 オフィス 学校 サラサクリップ 1本入T ジェルボールペン おしゃれ おすすめ 商品番号:AKH-0755 色数豊富でさらさらな書き味のジェルインク。手帳や細かい文字書きに!サイズ:軸径11.0×全長141.0mm","全長が130mmを超える"
"rejected","","オート とっても小さなシャーペン TL01-SP5 OHTO 0.5mm ペンホルダー付き 1000円ポッキリ 送料無料 手帳用 ダイヤリー ダイアリー ブラック ネイビー アルミボディ コンパクト 携帯 名刺入れ カードケース 小さい ミニサイズ 持ち運び 便利 文具","","","","https://item.rakuten.co.jp/hanko-otobe/tl01-sp5","","ボールペン/万年筆ではない"
"rejected","","水性ボールペン ボールぺんてる 10本","","","","https://item.rakuten.co.jp/ariel-store/hrworq7dstk6kyy2257ecdldoa","","商品ページから全長を確認できない"
"rejected","","オート ボールペン minimo ミニモ NBP-505MN","","","","https://item.rakuten.co.jp/stationery-goods/oht0152","","商品ページから全長を確認できない"
"rejected","","オート シャーペン minimo SP-505MN","","","","https://item.rakuten.co.jp/stationery-goods/oht0097","","ボールペン/万年筆ではない"
"rejected","","完売★オート ボールペン 油性 ミニモ NBP-505MN-BK ブラック","","","","https://item.rakuten.co.jp/ito-os/4971516011186","","商品ページから全長を確認できない"
"rejected","","オート ボールペン 油性 ミニモ NBP-505MN-GN グリーン","","","","https://item.rakuten.co.jp/ito-os/4971516011216","","商品ページから全長を確認できない"
"rejected","","公式ショップ ボールペン 油性ボールペン 細い 小さいボールペン 手帳用ボールペン 手帳ボールペン 旅行 ポーチ 手帳 財布 名刺入れ IDホルダー 携帯 細字 0.5mm 日本製 Made in Japan","","","","https://item.rakuten.co.jp/ohto-shop/tl01-b5-bk","","商品ページから全長を確認できない"
"rejected","","","","136.8","","https://item.rakuten.co.jp/ohto-shop/nkg-450e-nt","全長136.8mm×軸径7.6mm 重量8.4g","全長が130mmを超える"
"rejected","","フィッシャー スペースペン ボールペン EF400 BULLET ブレット 名入れ クローム ブラック ゴールド 宇宙 NASA 筆記具 油性 文具 ネーム ステーショナリー メンズ レディース ギフト プレゼント 父の日 記念 アメリカ 男性 女性 FISHER SPACEPEN","","","","https://item.rakuten.co.jp/pellepenna/1010015","","商品ページから全長を確認できない"
